,customer_id,name,age,gender,marital_status,education,occupation,salary,loan_amount,credit_limit,credit_utilization,emi_paid,tenure_months,max_dpd,default_status,product_type,enquiry_amount,unique_products_enquired,total_enquiries,transaction_amount,account_balance,is_salary,Credit Card,Home Loan,Personal Loan
422,f05fbc41-b0a7-45bb-9b96-da79ca669663,April Holland,24,Female,Single,PhD,Armed forces technical officer,86918,164731.42857142858,65357.5,0.341406698050825,83.0,41.142857142857146,120.0,0.5714285714285714,Home Loan,,,,0.0,7112.309809086643,0.0,False,True,False
422,f05fbc41-b0a7-45bb-9b96-da79ca669663,April Holland,24,Female,Single,PhD,Armed forces technical officer,86918,164731.42857142858,65357.5,0.341406698050825,83.0,41.142857142857146,120.0,0.5714285714285714,Personal Loan,,,,0.0,7112.309809086643,0.0,False,False,True
422,f05fbc41-b0a7-45bb-9b96-da79ca669663,April Holland,24,Female,Single,PhD,Armed forces technical officer,86918,164731.42857142858,65357.5,0.341406698050825,83.0,41.142857142857146,120.0,0.5714285714285714,Credit Card,,,,0.0,7112.309809086643,0.0,True,False,False
423,6198a818-e6f9-4231-b25a-b4eb0264baf2,Carlos Jensen,36,Male,Married,PhD,Location manager,31954,273690.0,24616.0,0.6407348847868612,21.0,14.0,30.0,0.5,Personal Loan,,,,0.0,17214.482278026346,0.0,False,False,True
423,6198a818-e6f9-4231-b25a-b4eb0264baf2,Carlos Jensen,36,Male,Married,PhD,Location manager,31954,273690.0,24616.0,0.6407348847868612,21.0,14.0,30.0,0.5,Credit Card,,,,0.0,17214.482278026346,0.0,True,False,False
424,5200f366-b6f6-48e5-8dd5-35f40721bd72,Derek Thompson,56,Female,Single,Bachelor,Estate manager/land agent,42154,192486.5,147937.0,0.2780490083693427,21.0,56.5,120.0,1.0,Home Loan,,,,0.0,10797.49023306094,0.0,False,True,False
424,5200f366-b6f6-48e5-8dd5-35f40721bd72,Derek Thompson,56,Female,Single,Bachelor,Estate manager/land agent,42154,192486.5,147937.0,0.2780490083693427,21.0,56.5,120.0,1.0,Credit Card,,,,0.0,10797.49023306094,0.0,True,False,False
425,fa85543d-7cd7-489a-9a5c-45dedb6a284e,Jean Thompson,57,Male,Single,Bachelor,Graphic designer,126766,106037.5,78716.0,0.9077297771823717,21.0,24.5,120.0,0.5,Credit Card,,,,4720.86459944169,12966.15692290892,1.0,True,False,False
425,fa85543d-7cd7-489a-9a5c-45dedb6a284e,Jean Thompson,57,Male,Single,Bachelor,Graphic designer,126766,106037.5,78716.0,0.9077297771823717,21.0,24.5,120.0,0.5,Personal Loan,,,,4720.86459944169,12966.15692290892,1.0,False,False,True
426,72cd4bf0-72fe-43dd-bc7e-843c8444ab57,Justin Bush,49,Female,Married,PhD,Theatre stage manager,29297,254053.66666666666,62900.0,0.40119718635815715,36.0,39.666666666666664,120.0,0.3333333333333333,Credit Card,74610.66666666667,2.0,3.0,8444.946513936002,9649.814842036558,1.0,True,False,False
426,72cd4bf0-72fe-43dd-bc7e-843c8444ab57,Justin Bush,49,Female,Married,PhD,Theatre stage manager,29297,254053.66666666666,62900.0,0.40119718635815715,36.0,39.666666666666664,120.0,0.3333333333333333,Personal Loan,74610.66666666667,2.0,3.0,8444.946513936002,9649.814842036558,1.0,False,False,True
427,a344212e-53c7-45e4-a61f-2b28201212d2,Garrett Robbins,35,Female,Divorced,Bachelor,Hydrologist,88171,150663.0,,,7.0,22.666666666666668,60.0,0.0,Personal Loan,,,,0.0,11033.794773764364,0.0,False,False,True
427,a344212e-53c7-45e4-a61f-2b28201212d2,Garrett Robbins,35,Female,Divorced,Bachelor,Hydrologist,88171,150663.0,,,7.0,22.666666666666668,60.0,0.0,Home Loan,,,,0.0,11033.794773764364,0.0,False,True,False
428,66e80093-6abe-4cc4-a628-f3e9eb6ca852,David Christian,27,Male,Divorced,Bachelor,Mental health nurse,102977,115332.0,95542.0,0.12841726728434397,14.0,46.0,60.0,0.0,Credit Card,23221.0,1.0,1.0,0.0,16063.131124501037,0.0,True,False,False
429,e37802c3-9489-44bc-897a-11544ce29167,James Rice,52,Female,Single,Bachelor,Operational researcher,140675,131400.0,51792.0,0.8282781857641653,14.0,48.0,120.0,1.0,Credit Card,,,,5942.276248635,11448.299078347813,1.0,True,False,False
430,5b73cfd6-ccca-4644-b00a-abfb09913c3a,Nina Green,56,Male,Divorced,PhD,Forensic scientist,141450,192074.66666666666,59146.5,0.18103545394968273,32.0,48.666666666666664,60.0,0.3333333333333333,Home Loan,89766.0,1.0,1.0,8141.490646688698,10310.059176675366,1.0,False,True,False
430,5b73cfd6-ccca-4644-b00a-abfb09913c3a,Nina Green,56,Male,Divorced,PhD,Forensic scientist,141450,192074.66666666666,59146.5,0.18103545394968273,32.0,48.666666666666664,60.0,0.3333333333333333,Credit Card,89766.0,1.0,1.0,8141.490646688698,10310.059176675366,1.0,True,False,False
431,43b55efc-efd5-4f2f-94f0-4b75bd0d4df3,Ann Johnson,19,Male,Married,Master,Ship broker,86744,267121.0,,,25.0,32.666666666666664,90.0,0.6666666666666666,Home Loan,70549.0,1.0,1.0,6426.662217965376,12975.39017059914,1.0,False,True,False
431,43b55efc-efd5-4f2f-94f0-4b75bd0d4df3,Ann Johnson,19,Male,Married,Master,Ship broker,86744,267121.0,,,25.0,32.666666666666664,90.0,0.6666666666666666,Personal Loan,70549.0,1.0,1.0,6426.662217965376,12975.39017059914,1.0,False,False,True
432,c21eb95d-4859-4ecd-b3b5-f62b14f7da28,Luis Cardenas,18,Female,Divorced,PhD,Midwife,42828,178868.5,62167.0,0.7620026095937081,66.0,41.5,120.0,0.5,Home Loan,61157.0,1.0,1.0,13680.168847923915,12002.998529111004,2.0,False,True,False
432,c21eb95d-4859-4ecd-b3b5-f62b14f7da28,Luis Cardenas,18,Female,Divorced,PhD,Midwife,42828,178868.5,62167.0,0.7620026095937081,66.0,41.5,120.0,0.5,Credit Card,61157.0,1.0,1.0,13680.168847923915,12002.998529111004,2.0,True,False,False
433,883e0ee0-b4b1-462f-84eb-6e90f43e129b,Denise Thomas,44,Male,Married,PhD,Commissioning editor,122906,213175.66666666666,,,33.0,22.0,60.0,0.6666666666666666,Home Loan,14996.0,1.0,1.0,0.0,14633.37408808168,0.0,False,True,False
433,883e0ee0-b4b1-462f-84eb-6e90f43e129b,Denise Thomas,44,Male,Married,PhD,Commissioning editor,122906,213175.66666666666,,,33.0,22.0,60.0,0.6666666666666666,Personal Loan,14996.0,1.0,1.0,0.0,14633.37408808168,0.0,False,False,True
434,cae2c2bd-0448-4a1f-b073-9bd11e88343f,Mr. Ryan Gray,40,Female,Divorced,Master,"Conservation officer, nature",105521,316299.0,,,31.0,29.5,90.0,1.0,Personal Loan,69556.0,1.0,1.0,0.0,9058.744372080182,0.0,False,False,True
435,0af933fb-7dff-4f97-b651-6e0ab606b7da,Vanessa Wiggins,65,Male,Single,Bachelor,Artist,48947,224165.66666666666,,,32.0,37.666666666666664,90.0,0.3333333333333333,Home Loan,,,,9445.998947984079,5427.11484078123,1.0,False,True,False
435,0af933fb-7dff-4f97-b651-6e0ab606b7da,Vanessa Wiggins,65,Male,Single,Bachelor,Artist,48947,224165.66666666666,,,32.0,37.666666666666664,90.0,0.3333333333333333,Personal Loan,,,,9445.998947984079,5427.11484078123,1.0,False,False,True
436,7d3ebc11-7d3b-431b-8186-29d2c506a609,David Campbell,33,Female,Married,Bachelor,IT trainer,116684,135795.5,91386.0,0.8923101276644094,15.0,43.0,120.0,0.0,Home Loan,298198.0,1.0,1.0,0.0,16143.600604227666,0.0,False,True,False
436,7d3ebc11-7d3b-431b-8186-29d2c506a609,David Campbell,33,Female,Married,Bachelor,IT trainer,116684,135795.5,91386.0,0.8923101276644094,15.0,43.0,120.0,0.0,Credit Card,298198.0,1.0,1.0,0.0,16143.600604227666,0.0,True,False,False
437,4294050f-8241-40db-b784-cab810d8fc67,Andrea Hendricks,56,Male,Married,PhD,Logistics and distribution manager,70521,331497.0,,,20.0,32.0,0.0,1.0,Personal Loan,27040.0,1.0,1.0,7707.76304398509,13060.474230602304,2.0,False,False,True
438,a9266101-17a7-4402-b01d-cb65e827ae1b,Erin Brooks,20,Female,Single,PhD,Chief Marketing Officer,26627,284111.0,,,9.0,55.0,120.0,1.0,Home Loan,84684.33333333333,2.0,3.0,0.0,8848.950112624434,0.0,False,True,False
439,0fc88add-1fb8-43de-a926-be0bbefd81d1,Cheryl Campbell,43,Male,Single,Bachelor,Neurosurgeon,70292,173235.0,145624.0,0.5231839424250619,42.0,28.0,90.0,0.6666666666666666,Credit Card,,,,1886.0010568846737,11805.636992162501,1.0,True,False,False
439,0fc88add-1fb8-43de-a926-be0bbefd81d1,Cheryl Campbell,43,Male,Single,Bachelor,Neurosurgeon,70292,173235.0,145624.0,0.5231839424250619,42.0,28.0,90.0,0.6666666666666666,Personal Loan,,,,1886.0010568846737,11805.636992162501,1.0,False,False,True
439,0fc88add-1fb8-43de-a926-be0bbefd81d1,Cheryl Campbell,43,Male,Single,Bachelor,Neurosurgeon,70292,173235.0,145624.0,0.5231839424250619,42.0,28.0,90.0,0.6666666666666666,Home Loan,,,,1886.0010568846737,11805.636992162501,1.0,False,True,False
440,497a652f-021a-486e-91ab-b7b6586c54e4,Tina Lewis,54,Male,Single,PhD,"Teacher, secondary school",129042,268441.0,49777.0,0.39159813899282514,26.0,46.0,90.0,0.5,Personal Loan,52094.0,1.0,1.0,0.0,6688.944120486416,0.0,False,False,True
440,497a652f-021a-486e-91ab-b7b6586c54e4,Tina Lewis,54,Male,Single,PhD,"Teacher, secondary school",129042,268441.0,49777.0,0.39159813899282514,26.0,46.0,90.0,0.5,Credit Card,52094.0,1.0,1.0,0.0,6688.944120486416,0.0,True,False,False
441,c200e50d-61b9-4c33-9ac5-0c36dd242567,Theresa Mooney,58,Female,Divorced,High School,Chartered accountant,90054,250445.0,,,28.0,49.0,120.0,0.25,Home Loan,,,,0.0,3279.916132679844,0.0,False,True,False
441,c200e50d-61b9-4c33-9ac5-0c36dd242567,Theresa Mooney,58,Female,Divorced,High School,Chartered accountant,90054,250445.0,,,28.0,49.0,120.0,0.25,Personal Loan,,,,0.0,3279.916132679844,0.0,False,False,True
442,a55820e3-b65d-442d-b0dc-e0a8da79c52b,Brandon Jones,35,Female,Married,Bachelor,Best boy,26058,174942.0,104001.5,0.49437457805910867,86.0,43.6,120.0,0.8,Personal Loan,168999.0,1.0,2.0,8952.643941445596,6842.528875155112,1.0,False,False,True
442,a55820e3-b65d-442d-b0dc-e0a8da79c52b,Brandon Jones,35,Female,Married,Bachelor,Best boy,26058,174942.0,104001.5,0.49437457805910867,86.0,43.6,120.0,0.8,Credit Card,168999.0,1.0,2.0,8952.643941445596,6842.528875155112,1.0,True,False,False
442,a55820e3-b65d-442d-b0dc-e0a8da79c52b,Brandon Jones,35,Female,Married,Bachelor,Best boy,26058,174942.0,104001.5,0.49437457805910867,86.0,43.6,120.0,0.8,Home Loan,168999.0,1.0,2.0,8952.643941445596,6842.528875155112,1.0,False,True,False
443,8e67152b-79cd-4756-9dc8-6597d6683fed,Anna Hill,69,Female,Divorced,PhD,Public affairs consultant,93257,182771.16666666666,52831.0,0.3783330347016377,66.0,33.5,90.0,1.0,Credit Card,,,,6812.064951834268,11234.232666114456,1.0,True,False,False
443,8e67152b-79cd-4756-9dc8-6597d6683fed,Anna Hill,69,Female,Divorced,PhD,Public affairs consultant,93257,182771.16666666666,52831.0,0.3783330347016377,66.0,33.5,90.0,1.0,Home Loan,,,,6812.064951834268,11234.232666114456,1.0,False,True,False
443,8e67152b-79cd-4756-9dc8-6597d6683fed,Anna Hill,69,Female,Divorced,PhD,Public affairs consultant,93257,182771.16666666666,52831.0,0.3783330347016377,66.0,33.5,90.0,1.0,Personal Loan,,,,6812.064951834268,11234.232666114456,1.0,False,False,True
444,24dbad12-7e61-4e64-b91a-6a28ee8fa610,Margaret Ortega,30,Female,Married,PhD,Community arts worker,54672,247651.2857142857,88955.0,0.33364755853136696,60.0,31.857142857142858,120.0,0.5714285714285714,Credit Card,,,,357.770823699451,12245.740953311213,1.0,True,False,False
444,24dbad12-7e61-4e64-b91a-6a28ee8fa610,Margaret Ortega,30,Female,Married,PhD,Community arts worker,54672,247651.2857142857,88955.0,0.33364755853136696,60.0,31.857142857142858,120.0,0.5714285714285714,Home Loan,,,,357.770823699451,12245.740953311213,1.0,False,True,False
444,24dbad12-7e61-4e64-b91a-6a28ee8fa610,Margaret Ortega,30,Female,Married,PhD,Community arts worker,54672,247651.2857142857,88955.0,0.33364755853136696,60.0,31.857142857142858,120.0,0.5714285714285714,Personal Loan,,,,357.770823699451,12245.740953311213,1.0,False,False,True
445,279bd55d-8d72-443c-8d8d-12acf04f9a4d,Amy Salas,45,Male,Single,Bachelor,"Therapist, art",23136,15974.0,148502.0,0.14624859390216788,24.0,24.0,90.0,0.0,Credit Card,46567.0,1.0,1.0,0.0,1694.6328009109418,0.0,True,False,False
446,b6bb5057-c312-4221-b1df-c0b36b204188,Jack Anderson,51,Male,Married,High School,Patent attorney,105680,200155.5,,,21.0,40.5,60.0,0.5,Personal Loan,356264.0,1.0,1.0,8894.55077771621,7969.4299040549895,1.0,False,False,True
446,b6bb5057-c312-4221-b1df-c0b36b204188,Jack Anderson,51,Male,Married,High School,Patent attorney,105680,200155.5,,,21.0,40.5,60.0,0.5,Home Loan,356264.0,1.0,1.0,8894.55077771621,7969.4299040549895,1.0,False,True,False
447,65a324dc-c6ae-4015-bf61-16ce8f98fd8c,Alyssa Reynolds,41,Female,Single,Master,Banker,119877,131941.0,84283.0,0.6288368537654825,30.0,37.5,90.0,1.0,Personal Loan,,,,5769.30422701441,9758.01794507156,1.0,False,False,True
447,65a324dc-c6ae-4015-bf61-16ce8f98fd8c,Alyssa Reynolds,41,Female,Single,Master,Banker,119877,131941.0,84283.0,0.6288368537654825,30.0,37.5,90.0,1.0,Credit Card,,,,5769.30422701441,9758.01794507156,1.0,True,False,False
448,db86718d-a583-43d3-97a0-8be5e902298e,Jeffrey Woods,53,Female,Married,PhD,Forensic scientist,22834,,,,,,,,,392598.0,1.0,1.0,8490.799179857619,15348.716328356386,1.0,False,False,False
449,b1ca292d-73c9-4d26-a99c-5ae434512798,Benjamin Patterson,39,Female,Married,High School,Proofreader,24996,178600.5,111872.0,0.3505384609718021,19.0,36.0,30.0,0.5,Credit Card,152717.0,1.0,1.0,8427.63061549918,8842.46536513228,1.0,True,False,False
449,b1ca292d-73c9-4d26-a99c-5ae434512798,Benjamin Patterson,39,Female,Married,High School,Proofreader,24996,178600.5,111872.0,0.3505384609718021,19.0,36.0,30.0,0.5,Personal Loan,152717.0,1.0,1.0,8427.63061549918,8842.46536513228,1.0,False,False,True
450,40c6baed-1e45-4717-8a5e-c7f210fe3969,Douglas Robinson,20,Male,Single,PhD,Herpetologist,114488,109136.33333333333,116330.0,0.6777833677891616,44.0,42.0,120.0,1.0,Home Loan,42976.0,1.0,1.0,5268.154093429239,10135.518773246788,1.0,False,True,False
450,40c6baed-1e45-4717-8a5e-c7f210fe3969,Douglas Robinson,20,Male,Single,PhD,Herpetologist,114488,109136.33333333333,116330.0,0.6777833677891616,44.0,42.0,120.0,1.0,Credit Card,42976.0,1.0,1.0,5268.154093429239,10135.518773246788,1.0,True,False,False
451,ad7f6636-2a56-41c6-84b5-8dd5fd3d13a8,Arthur Smith,41,Female,Divorced,High School,Paramedic,128732,5707.0,126815.0,0.10833697595901147,11.0,32.0,15.0,1.0,Credit Card,493205.0,1.0,1.0,3765.490974485328,9660.575658743639,1.0,True,False,False
452,98818f11-d7cc-48f9-aa40-50cfcf51cc2c,Jessica Harrison,23,Female,Married,Master,Systems developer,99935,119907.5,71180.0,0.8906303172450609,29.0,35.0,60.0,0.0,Credit Card,416443.0,1.0,1.0,0.0,12020.704090454305,0.0,True,False,False
453,9dffec39-ff6c-4a8d-bc6d-896816c73ad6,Sean Norris,63,Female,Divorced,Master,Personal assistant,39204,333246.5,,,39.0,17.5,120.0,1.0,Home Loan,18414.0,2.0,3.0,5721.054007389221,11265.355023755254,1.0,False,True,False
454,0b0f7bd4-7400-411f-ac26-d44c8ead5798,Tanya Lester,51,Female,Divorced,High School,Local government officer,101726,182109.0,,,38.0,37.0,120.0,0.5,Personal Loan,300202.0,1.0,1.0,4485.6531158428525,9463.556423946888,1.0,False,False,True
454,0b0f7bd4-7400-411f-ac26-d44c8ead5798,Tanya Lester,51,Female,Divorced,High School,Local government officer,101726,182109.0,,,38.0,37.0,120.0,0.5,Home Loan,300202.0,1.0,1.0,4485.6531158428525,9463.556423946888,1.0,False,True,False
455,de68025e-345e-4b1d-ae55-410d6e8b354c,Andrew Bradley,28,Female,Married,Bachelor,Merchant navy officer,95082,91763.0,60252.0,0.7969839132028388,24.0,21.0,60.0,0.0,Personal Loan,30193.0,1.0,2.0,8757.112597983485,13101.827178552136,2.0,False,False,True
455,de68025e-345e-4b1d-ae55-410d6e8b354c,Andrew Bradley,28,Female,Married,Bachelor,Merchant navy officer,95082,91763.0,60252.0,0.7969839132028388,24.0,21.0,60.0,0.0,Credit Card,30193.0,1.0,2.0,8757.112597983485,13101.827178552136,2.0,True,False,False
456,13eb779c-aa61-40c3-9724-41981c04b342,Michelle Holmes,44,Male,Divorced,PhD,Environmental manager,46881,104119.66666666667,142791.0,0.31359069878635737,51.0,45.333333333333336,60.0,0.6666666666666666,Personal Loan,22061.0,1.0,1.0,3619.3167720580013,13620.319991625789,1.0,False,False,True
456,13eb779c-aa61-40c3-9724-41981c04b342,Michelle Holmes,44,Male,Divorced,PhD,Environmental manager,46881,104119.66666666667,142791.0,0.31359069878635737,51.0,45.333333333333336,60.0,0.6666666666666666,Home Loan,22061.0,1.0,1.0,3619.3167720580013,13620.319991625789,1.0,False,True,False
456,13eb779c-aa61-40c3-9724-41981c04b342,Michelle Holmes,44,Male,Divorced,PhD,Environmental manager,46881,104119.66666666667,142791.0,0.31359069878635737,51.0,45.333333333333336,60.0,0.6666666666666666,Credit Card,22061.0,1.0,1.0,3619.3167720580013,13620.319991625789,1.0,True,False,False
457,90638486-4466-4970-996e-a62c9a61bba3,Anthony James,38,Male,Single,Master,Paramedic,146652,155163.66666666666,110482.5,0.5112376205767435,51.0,33.666666666666664,120.0,0.3333333333333333,Credit Card,223483.0,1.0,1.0,3774.5411709696973,4651.367175185398,1.0,True,False,False
457,90638486-4466-4970-996e-a62c9a61bba3,Anthony James,38,Male,Single,Master,Paramedic,146652,155163.66666666666,110482.5,0.5112376205767435,51.0,33.666666666666664,120.0,0.3333333333333333,Personal Loan,223483.0,1.0,1.0,3774.5411709696973,4651.367175185398,1.0,False,False,True
458,508f288e-d922-4362-ae77-2a851b373817,Timothy Stephens,55,Male,Married,High School,"Engineer, control and instrumentation",50134,227945.7142857143,90861.0,0.9964256316829718,92.0,33.857142857142854,120.0,0.7142857142857143,Home Loan,268255.0,1.0,1.0,0.0,11292.496190237873,0.0,False,True,False
458,508f288e-d922-4362-ae77-2a851b373817,Timothy Stephens,55,Male,Married,High School,"Engineer, control and instrumentation",50134,227945.7142857143,90861.0,0.9964256316829718,92.0,33.857142857142854,120.0,0.7142857142857143,Personal Loan,268255.0,1.0,1.0,0.0,11292.496190237873,0.0,False,False,True
458,508f288e-d922-4362-ae77-2a851b373817,Timothy Stephens,55,Male,Married,High School,"Engineer, control and instrumentation",50134,227945.7142857143,90861.0,0.9964256316829718,92.0,33.857142857142854,120.0,0.7142857142857143,Credit Card,268255.0,1.0,1.0,0.0,11292.496190237873,0.0,True,False,False
459,656e8cd6-5f88-42c8-8f59-3755dc805dce,Christine Cook,57,Female,Married,High School,"Psychologist, occupational",82453,230039.0,29449.0,0.6609716392210988,27.0,32.333333333333336,120.0,0.6666666666666666,Home Loan,,,,2867.746678938705,5801.602197795943,1.0,False,True,False
459,656e8cd6-5f88-42c8-8f59-3755dc805dce,Christine Cook,57,Female,Married,High School,"Psychologist, occupational",82453,230039.0,29449.0,0.6609716392210988,27.0,32.333333333333336,120.0,0.6666666666666666,Credit Card,,,,2867.746678938705,5801.602197795943,1.0,True,False,False
459,656e8cd6-5f88-42c8-8f59-3755dc805dce,Christine Cook,57,Female,Married,High School,"Psychologist, occupational",82453,230039.0,29449.0,0.6609716392210988,27.0,32.333333333333336,120.0,0.6666666666666666,Personal Loan,,,,2867.746678938705,5801.602197795943,1.0,False,False,True
460,482c5696-1be4-4f09-b2cd-049f98e21966,Mr. Dakota Howard,23,Male,Divorced,High School,"Scientist, audiological",119178,212531.33333333334,,,28.0,48.333333333333336,60.0,1.0,Home Loan,114463.0,1.0,1.0,8960.53952228048,6784.307973726546,1.0,False,True,False
461,563c4b12-fdfc-4d51-801f-120c095ea617,Kristy Thompson,50,Female,Divorced,Bachelor,Press sub,63500,128381.0,70584.0,0.1081356722516284,13.0,34.0,120.0,1.0,Home Loan,,,,3863.3767144736416,14116.015671537129,1.0,False,True,False
461,563c4b12-fdfc-4d51-801f-120c095ea617,Kristy Thompson,50,Female,Divorced,Bachelor,Press sub,63500,128381.0,70584.0,0.1081356722516284,13.0,34.0,120.0,1.0,Credit Card,,,,3863.3767144736416,14116.015671537129,1.0,True,False,False
462,21f98974-199f-451f-b681-8c5fade5e57e,Mark Guerrero,66,Male,Divorced,High School,TEFL teacher,51348,222337.0,,,23.0,49.0,15.0,1.0,Home Loan,83792.0,1.0,1.0,8695.633341477864,11861.691596003682,1.0,False,True,False
463,ebf4f9e8-6e0e-4306-91d4-341ebad6adc4,Ryan Glass,23,Female,Married,Bachelor,Forensic psychologist,61732,277428.5,110127.0,0.15072292071118196,36.0,50.0,60.0,0.5,Credit Card,,,,0.0,8367.806459456895,0.0,True,False,False
463,ebf4f9e8-6e0e-4306-91d4-341ebad6adc4,Ryan Glass,23,Female,Married,Bachelor,Forensic psychologist,61732,277428.5,110127.0,0.15072292071118196,36.0,50.0,60.0,0.5,Home Loan,,,,0.0,8367.806459456895,0.0,False,True,False
464,6e294c35-6e98-4ace-ae03-1c2d1eee37a3,Mr. David Olson,36,Male,Single,PhD,Human resources officer,130949,243971.0,17925.0,0.2873069767413087,28.0,25.0,0.0,0.6666666666666666,Personal Loan,434788.0,1.0,1.0,0.0,17255.263156783,0.0,False,False,True
464,6e294c35-6e98-4ace-ae03-1c2d1eee37a3,Mr. David Olson,36,Male,Single,PhD,Human resources officer,130949,243971.0,17925.0,0.2873069767413087,28.0,25.0,0.0,0.6666666666666666,Credit Card,434788.0,1.0,1.0,0.0,17255.263156783,0.0,True,False,False
465,9f787183-5ee2-4d19-a2b7-c97b52ad3ab5,Edward Ramos,66,Female,Married,High School,Physiological scientist,95304,209368.0,,,15.0,58.0,120.0,0.0,Personal Loan,198817.0,2.0,2.0,393.06875205991093,10594.375441917884,1.0,False,False,True
466,b64cbb2a-7f5b-420a-bc0c-432477695da1,James Aguilar,70,Female,Divorced,High School,Manufacturing systems engineer,49133,228486.0,,,11.0,19.0,30.0,0.0,Home Loan,,,,6057.557292560333,5467.209508709465,1.0,False,True,False
467,c018de25-31b1-4e0d-bf33-f9f8cc55faad,Diana Prince,33,Female,Single,Bachelor,"Psychotherapist, child",85170,181151.33333333334,28077.0,0.4653807929456496,34.0,37.333333333333336,15.0,0.6666666666666666,Home Loan,,,,585.5297224740112,5551.014785039722,1.0,False,True,False
467,c018de25-31b1-4e0d-bf33-f9f8cc55faad,Diana Prince,33,Female,Single,Bachelor,"Psychotherapist, child",85170,181151.33333333334,28077.0,0.4653807929456496,34.0,37.333333333333336,15.0,0.6666666666666666,Credit Card,,,,585.5297224740112,5551.014785039722,1.0,True,False,False
468,b0e9ac72-d786-40f5-aeb1-6ec366e55d81,Cassandra Simmons,69,Female,Divorced,PhD,Planning and development surveyor,130445,329643.0,,,25.0,45.5,15.0,1.0,Home Loan,,,,0.0,9435.304336626165,0.0,False,True,False
468,b0e9ac72-d786-40f5-aeb1-6ec366e55d81,Cassandra Simmons,69,Female,Divorced,PhD,Planning and development surveyor,130445,329643.0,,,25.0,45.5,15.0,1.0,Personal Loan,,,,0.0,9435.304336626165,0.0,False,False,True
469,27bc4f4d-9e0a-4ab6-a101-f11499c3aa42,Zachary Alexander,65,Male,Single,PhD,Social researcher,99469,305587.5,,,62.0,23.5,120.0,1.0,Personal Loan,,,,7257.2815433550395,6909.143893815475,1.0,False,False,True
470,330f80ea-b888-4759-800d-b018b12bf50d,Alicia Wise,54,Female,Single,Master,Drilling engineer,83738,163159.5,,,14.0,42.5,120.0,0.5,Home Loan,,,,9796.395217964808,15447.575519056038,1.0,False,True,False
471,4675bb28-63a5-4b20-a6de-1f73623a41a1,Deanna Brown,36,Male,Married,PhD,"Research officer, government",111221,234176.0,,,23.0,59.0,0.0,1.0,Personal Loan,256024.0,1.0,1.0,7469.499268251156,13596.848624871713,1.0,False,False,True
472,ccb43328-4d26-4798-bbcb-9327d3939484,Roger Baker,57,Male,Married,Bachelor,"Radiographer, diagnostic",137092,111299.0,74405.0,0.7142521822087022,44.0,27.5,30.0,0.5,Credit Card,113757.0,1.0,1.0,0.0,12634.792372591224,0.0,True,False,False
473,d980dc90-3a3f-4570-8bdc-3c09be7cbfd6,Roy Smith,21,Male,Married,Master,Personal assistant,26711,199893.75,113365.0,0.4761873535961763,55.0,35.75,120.0,0.75,Personal Loan,219723.33333333334,2.0,3.0,9442.547258727656,10718.008291517415,1.0,False,False,True
473,d980dc90-3a3f-4570-8bdc-3c09be7cbfd6,Roy Smith,21,Male,Married,Master,Personal assistant,26711,199893.75,113365.0,0.4761873535961763,55.0,35.75,120.0,0.75,Credit Card,219723.33333333334,2.0,3.0,9442.547258727656,10718.008291517415,1.0,True,False,False
474,c129d489-77bd-4562-badc-63712f79dc32,Casey Gould,59,Female,Divorced,PhD,Charity fundraiser,62205,104095.5,96078.0,0.599370503027417,35.0,41.0,120.0,0.5,Credit Card,,,,1618.9056563214228,13049.389560739699,1.0,True,False,False
474,c129d489-77bd-4562-badc-63712f79dc32,Casey Gould,59,Female,Divorced,PhD,Charity fundraiser,62205,104095.5,96078.0,0.599370503027417,35.0,41.0,120.0,0.5,Personal Loan,,,,1618.9056563214228,13049.389560739699,1.0,False,False,True
475,e766994b-a69e-442f-aac3-0bd2a8bfb719,Kimberly Morris,52,Male,Divorced,Bachelor,Psychotherapist,31472,270955.0,,,22.0,23.5,120.0,0.5,Home Loan,,,,14905.491824754932,8921.163854443741,3.0,False,True,False
475,e766994b-a69e-442f-aac3-0bd2a8bfb719,Kimberly Morris,52,Male,Divorced,Bachelor,Psychotherapist,31472,270955.0,,,22.0,23.5,120.0,0.5,Personal Loan,,,,14905.491824754932,8921.163854443741,3.0,False,False,True
476,b02dc9ac-d10f-42b8-966d-a92a174ed9b6,Tracy Park,31,Female,Single,PhD,Academic librarian,127536,237667.25,50396.0,0.607820160030044,43.0,35.25,90.0,0.5,Personal Loan,69758.0,1.0,1.0,0.0,1434.4381021890013,0.0,False,False,True
476,b02dc9ac-d10f-42b8-966d-a92a174ed9b6,Tracy Park,31,Female,Single,PhD,Academic librarian,127536,237667.25,50396.0,0.607820160030044,43.0,35.25,90.0,0.5,Credit Card,69758.0,1.0,1.0,0.0,1434.4381021890013,0.0,True,False,False
477,bd797a1a-2aa0-4480-a989-9646a87f1c49,Joseph Bowman,41,Female,Single,Bachelor,Public librarian,42254,454913.5,,,15.0,52.5,120.0,1.0,Home Loan,,,,3634.120573079024,10682.66803130556,1.0,False,True,False
477,bd797a1a-2aa0-4480-a989-9646a87f1c49,Joseph Bowman,41,Female,Single,Bachelor,Public librarian,42254,454913.5,,,15.0,52.5,120.0,1.0,Personal Loan,,,,3634.120573079024,10682.66803130556,1.0,False,False,True
